,0,1,2,3,4,_tempm,6,7,datetime_utc
106,0.2,0.053260723,0.559139785,0.998917749,0.214285714,0.3,0.777777778,0.181818182,05-02-1999 5.30
107,0.4,0.055339207,0.935483871,0.996753247,0.19047619,0.05,0.638888889,0.090909091,08-02-1999 4.30
108,0.233333333,0.071095461,0.268817204,0.987012987,0.476190476,0.6,0.833333333,0.454545455,02-03-1999 12.30
109,0.3,0.021345726,0.483870968,0.982683983,0.333333333,0.3,0,0,09-03-1999 20.30
110,0.2,0.020334613,0.204301075,0.982683983,0.523809524,0.6,0.833333333,0.363636364,10-03-1999 10.30
111,0.233333333,0.004381491,0.559139785,0.981601732,0.238095238,0.25,0.75,0.319410319,26-03-1999 23.30
112,0.4,0.00056173,0.397849462,0.984848485,0.476190476,0.16,0,0,29-03-1999 17.30
113,0.333333333,0,0.172043011,0.982683983,0.69047619,0.22,0.166666667,0.137592138,08-04-1999 5.30
114,0.066666667,0.117427488,0.247311828,0.982683983,0.357142857,0.12,0.638888889,0.137592138,14-04-1999 1.30
115,0.233333333,0.24990074,0.043010753,0.974025974,0.928571429,0.7,0.805555556,0.272727273,02-05-1999 9.30
116,0.366666667,0.152893175,0.161290323,0.979437229,0.738095238,0.5,0.75,0.454545455,01-06-1999 7.30
117,0.5,0.227002967,0.268817204,0.978354978,0.69047619,0.4,0.166666667,0.272727273,04-06-1999 12.30
118,0.7,0.510756676,0.322580645,0.971861472,0.785714286,0.45,0.138888889,0.181818182,18-06-1999 12.30
119,0.766666667,0.410608309,0.483870968,0.970779221,0.69047619,0.28,0.25,0.137592138,20-06-1999 15.30
120,0.566666667,0.220326409,0.333333333,0.970779221,0.666666667,0.35,0.805555556,0.137592138,23-06-1999 3.30
121,0.566666667,0.367210682,0.247311828,0.970779221,0.761904762,0.5,0.861111111,0.363636364,23-06-1999 6.30
122,0.733333333,0.293768546,0.516129032,0.972943723,0.642857143,0.2,0,0,15-07-1999 1.30
123,0.733333333,0.130192878,0.677419355,0.971861472,0.547619048,0.2,0.277777778,0.181818182,18-07-1999 22.30
124,0.733333333,0.130192878,0.677419355,0.972943723,0.547619048,0.1,0.222222222,0.181818182,19-07-1999 2.30
125,0.7,0.150222552,0.591397849,0.971861472,0.571428571,0.25,0.277777778,0.272727273,25-07-1999 1.30
126,0.666666667,0.243694362,0.451612903,0.968614719,0.642857143,0.4,0.111111111,0.272727273,25-07-1999 12.30
127,0.633333333,0.457344214,0.279569892,0.96969697,0.785714286,0.6,0.694444444,0.454545455,26-07-1999 10.30
128,0.633333333,0.223664688,0.419354839,0.96969697,0.642857143,0.28,0.805555556,0.228501229,27-07-1999 0.30
129,0.566666667,0.086795252,0.440860215,0.974025974,0.571428571,0.3,0.305555556,0.228501229,03-08-1999 23.30
130,0.6,0.100148368,0.47311828,0.970779221,0.571428571,0.35,0.638888889,0.090909091,06-08-1999 22.30
